Year,Geography,Parent_Code_1,Parent_Code_2,Org_Code,Contract_Type,Age_Group,Gender,Dentist_Count
2011-12,2.NHS England Region,Y59,,,PDS,35-44,M,56
2011-12,2.NHS England Region,Y58,,,Mixed,35-44,M,15
2011-12,2.NHS England Region,Y58,,,TDS,Under 35,M,11
2011-12,2.NHS England Region,Y58,,,GDS,Under 35,F,436
2011-12,2.NHS England Region,Y61,,,TDS,Under 35,F,13
2011-12,2.NHS England Region,Y62,,,PDS,45-54,F,39
2011-12,2.NHS England Region,Y60,,,PDS,55+,M,44
2011-12,2.NHS England Region,Y62,,,PDS,55+,F,19
2011-12,2.NHS England Region,Y61,,,GDS,35-44,F,256
2011-12,2.NHS England Region,Y62,,,GDS,35-44,F,235
2011-12,2.NHS England Region,Y56,,,PDS,35-44,F,53
2011-12,2.NHS England Region,Y58,,,Mixed,55+,M,10
2011-12,2.NHS England Region,Y59,,,TDS,55+,M,21
2011-12,2.NHS England Region,Y63,,,TDS,55+,F,17
2011-12,2.NHS England Region,Y56,,,Mixed,55+,F,6
2011-12,2.NHS England Region,Y58,,,Mixed,45-54,M,10
2011-12,2.NHS England Region,Y60,,,PDS,45-54,M,66
2011-12,2.NHS England Region,Y58,,,GDS,35-44,F,260
2011-12,2.NHS England Region,Y63,,,PDS,45-54,F,42
2011-12,2.NHS England Region,Y61,,,PDS,45-54,F,31
2011-12,2.NHS England Region,Y62,,,GDS,45-54,M,371
2011-12,2.NHS England Region,Y59,,,PDS,55+,M,29
2011-12,2.NHS England Region,Y59,,,GDS,45-54,M,499
2011-12,2.NHS England Region,Y59,,,GDS,35-44,F,408
2011-12,2.NHS England Region,Y56,,,Mixed,35-44,F,24
2011-12,2.NHS England Region,Y56,,,TDS,55+,F,16
2011-12,2.NHS England Region,Y62,,,TDS,35-44,M,15
2011-12,2.NHS England Region,Y58,,,PDS,55+,M,26
2011-12,2.NHS England Region,Y63,,,TDS,Under 35,F,29
2011-12,2.NHS England Region,Y60,,,TDS,Under 35,F,39
2011-12,2.NHS England Region,Y60,,,PDS,35-44,F,49
2011-12,2.NHS England Region,Y62,,,Mixed,Under 35,M,56
2011-12,2.NHS England Region,Y58,,,PDS,35-44,M,30
2011-12,2.NHS England Region,Y60,,,TDS,55+,F,27
2011-12,2.NHS England Region,Y59,,,Mixed,35-44,F,31
2011-12,2.NHS England Region,Y63,,,Mixed,Under 35,M,80
2011-12,2.NHS England Region,Y56,,,GDS,Under 35,M,651
2011-12,2.NHS England Region,Y61,,,TDS,55+,F,15
2011-12,2.NHS England Region,Y59,,,TDS,Under 35,M,9
2011-12,2.NHS England Region,Y63,,,PDS,55+,M,49
2011-12,2.NHS England Region,Y60,,,TDS,35-44,F,56
2011-12,2.NHS England Region,Y61,,,TDS,35-44,M,3
2011-12,2.NHS England Region,Y56,,,PDS,Under 35,F,58
2011-12,2.NHS England Region,Y59,,,Mixed,Under 35,M,47
2011-12,2.NHS England Region,Y59,,,Mixed,45-54,F,13
2011-12,2.NHS England Region,Y62,,,Mixed,45-54,F,10
2011-12,2.NHS England Region,Y56,,,GDS,45-54,M,435
2011-12,2.NHS England Region,Y56,,,TDS,35-44,M,14
2011-12,2.NHS England Region,Y58,,,TDS,45-54,F,32
2011-12,2.NHS England Region,Y56,,,Mixed,45-54,F,12
2011-12,2.NHS England Region,Y63,,,TDS,35-44,M,11
2011-12,2.NHS England Region,Y56,,,GDS,35-44,F,455
2011-12,2.NHS England Region,Y61,,,PDS,Under 35,M,44
2011-12,2.NHS England Region,Y62,,,Mixed,45-54,M,33
2011-12,2.NHS England Region,Y59,,,Mixed,Under 35,F,55
2011-12,2.NHS England Region,Y63,,,PDS,Under 35,M,80
2011-12,2.NHS England Region,Y60,,,Mixed,55+,F,5
2011-12,2.NHS England Region,Y60,,,TDS,45-54,M,26
2011-12,2.NHS England Region,Y59,,,GDS,35-44,M,446
2011-12,2.NHS England Region,Y62,,,TDS,45-54,F,32
2011-12,2.NHS England Region,Y56,,,TDS,35-44,F,42
2011-12,2.NHS England Region,Y56,,,PDS,55+,M,30
2011-12,2.NHS England Region,Y62,,,TDS,Under 35,M,13
2011-12,2.NHS England Region,Y59,,,GDS,55+,F,109
2011-12,2.NHS England Region,Y56,,,GDS,35-44,M,437
2011-12,2.NHS England Region,Y58,,,TDS,55+,F,17
2011-12,2.NHS England Region,Y63,,,PDS,35-44,F,50
2011-12,2.NHS England Region,Y61,,,Mixed,35-44,F,29
2011-12,2.NHS England Region,Y60,,,PDS,35-44,M,64
2011-12,2.NHS England Region,Y58,,,TDS,35-44,M,13
2011-12,2.NHS England Region,Y63,,,Mixed,45-54,F,13
2011-12,2.NHS England Region,Y60,,,PDS,Under 35,M,68
2011-12,2.NHS England Region,Y61,,,Mixed,55+,F,3
2011-12,2.NHS England Region,Y61,,,Mixed,Under 35,M,45
2011-12,2.NHS England Region,Y58,,,Mixed,Under 35,F,16
2011-12,2.NHS England Region,Y60,,,GDS,Under 35,M,573
2011-12,2.NHS England Region,Y63,,,Mixed,55+,F,8
2011-12,2.NHS England Region,Y56,,,GDS,55+,F,78
2011-12,2.NHS England Region,Y56,,,Mixed,35-44,M,22
2011-12,2.NHS England Region,Y63,,,GDS,55+,F,60
2011-12,2.NHS England Region,Y63,,,TDS,55+,M,15
2011-12,2.NHS England Region,Y56,,,Mixed,45-54,M,25
2011-12,2.NHS England Region,Y62,,,Mixed,35-44,F,23
2011-12,2.NHS England Region,Y61,,,GDS,Under 35,F,477
2011-12,2.NHS England Region,Y63,,,TDS,45-54,F,39
2011-12,2.NHS England Region,Y56,,,PDS,35-44,M,50
2011-12,2.NHS England Region,Y59,,,PDS,45-54,F,55
2011-12,2.NHS England Region,Y58,,,GDS,Under 35,M,339
2011-12,2.NHS England Region,Y60,,,Mixed,35-44,M,70
2011-12,2.NHS England Region,Y59,,,TDS,45-54,M,12
2011-12,2.NHS England Region,Y62,,,GDS,55+,F,52
2011-12,2.NHS England Region,Y59,,,TDS,35-44,F,33
2011-12,2.NHS England Region,Y62,,,GDS,Under 35,F,489
2011-12,2.NHS England Region,Y56,,,TDS,45-54,M,16
2011-12,2.NHS England Region,Y60,,,GDS,35-44,M,448
2011-12,2.NHS England Region,Y56,,,TDS,55+,M,11
2011-12,2.NHS England Region,Y63,,,GDS,Under 35,F,642
2011-12,2.NHS England Region,Y61,,,GDS,55+,F,56
2011-12,2.NHS England Region,Y62,,,PDS,Under 35,F,54
2011-12,2.NHS England Region,Y61,,,TDS,55+,M,6
2011-12,2.NHS England Region,Y61,,,TDS,45-54,F,19
2011-12,2.NHS England Region,Y63,,,GDS,35-44,F,329
2011-12,2.NHS England Region,Y58,,,PDS,Under 35,F,26
2011-12,2.NHS England Region,Y60,,,GDS,55+,M,325
2011-12,2.NHS England Region,Y62,,,Mixed,55+,M,19
2011-12,2.NHS England Region,Y56,,,Mixed,55+,M,13
2011-12,2.NHS England Region,Y58,,,GDS,45-54,M,328
2011-12,2.NHS England Region,Y60,,,Mixed,Under 35,F,63
2011-12,2.NHS England Region,Y63,,,Mixed,35-44,F,31
2011-12,2.NHS England Region,Y59,,,PDS,Under 35,F,65
2011-12,2.NHS England Region,Y59,,,Mixed,55+,F,3
2011-12,2.NHS England Region,Y56,,,GDS,45-54,F,169
2011-12,2.NHS England Region,Y60,,,TDS,35-44,M,13
2011-12,2.NHS England Region,Y56,,,TDS,45-54,F,32
2011-12,2.NHS England Region,Y60,,,GDS,35-44,F,353
2011-12,2.NHS England Region,Y63,,,Mixed,35-44,M,57
2011-12,2.NHS England Region,Y58,,,TDS,45-54,M,10
2011-12,2.NHS England Region,Y62,,,Mixed,35-44,M,44
2011-12,2.NHS England Region,Y56,,,PDS,Under 35,M,30
2011-12,2.NHS England Region,Y61,,,GDS,Under 35,M,398
2011-12,2.NHS England Region,Y59,,,TDS,45-54,F,31
2011-12,2.NHS England Region,Y59,,,TDS,Under 35,F,29
2011-12,2.NHS England Region,Y63,,,PDS,55+,F,15
2011-12,2.NHS England Region,Y62,,,GDS,Under 35,M,445
2011-12,2.NHS England Region,Y62,,,TDS,55+,F,21
2011-12,2.NHS England Region,Y59,,,Mixed,45-54,M,32
2011-12,2.NHS England Region,Y59,,,Mixed,35-44,M,35
2011-12,2.NHS England Region,Y56,,,GDS,55+,M,311
2011-12,2.NHS England Region,Y59,,,GDS,Under 35,F,669
2011-12,2.NHS England Region,Y60,,,TDS,55+,M,19
2011-12,2.NHS England Region,Y58,,,PDS,45-54,F,21
2011-12,2.NHS England Region,Y63,,,GDS,Under 35,M,576
2011-12,2.NHS England Region,Y60,,,GDS,55+,F,66
2011-12,2.NHS England Region,Y63,,,Mixed,55+,M,21
2011-12,2.NHS England Region,Y58,,,Mixed,55+,F,1
2011-12,2.NHS England Region,Y61,,,Mixed,45-54,F,13
2011-12,2.NHS England Region,Y56,,,TDS,Under 35,F,49
2011-12,2.NHS England Region,Y56,,,Mixed,Under 35,M,45
2011-12,2.NHS England Region,Y58,,,GDS,35-44,M,312
2011-12,2.NHS England Region,Y59,,,PDS,55+,F,16
2011-12,2.NHS England Region,Y58,,,TDS,55+,M,23
2011-12,2.NHS England Region,Y62,,,TDS,45-54,M,18
2011-12,2.NHS England Region,Y61,,,PDS,45-54,M,42
2011-12,2.NHS England Region,Y63,,,GDS,45-54,F,217
2011-12,2.NHS England Region,Y58,,,GDS,55+,F,47
2011-12,2.NHS England Region,Y59,,,TDS,55+,F,26
2011-12,2.NHS England Region,Y62,,,PDS,45-54,M,67
2011-12,2.NHS England Region,Y61,,,PDS,35-44,F,47
2011-12,2.NHS England Region,Y61,,,GDS,45-54,F,137
2011-12,2.NHS England Region,Y58,,,Mixed,35-44,F,11
2011-12,2.NHS England Region,Y62,,,PDS,55+,M,36
2011-12,2.NHS England Region,Y62,,,TDS,35-44,F,27
2011-12,2.NHS England Region,Y62,,,PDS,35-44,F,46
2011-12,2.NHS England Region,Y62,,,PDS,Under 35,M,41
2011-12,2.NHS England Region,Y63,,,PDS,45-54,M,68
2011-12,2.NHS England Region,Y56,,,PDS,45-54,F,25
2011-12,2.NHS England Region,Y59,,,PDS,35-44,F,81
2011-12,2.NHS England Region,Y60,,,GDS,45-54,M,415
2011-12,2.NHS England Region,Y62,,,GDS,45-54,F,152
2011-12,2.NHS England Region,Y60,,,Mixed,45-54,F,21
2011-12,2.NHS England Region,Y59,,,PDS,45-54,M,65
2011-12,2.NHS England Region,Y60,,,GDS,45-54,F,208
2011-12,2.NHS England Region,Y61,,,PDS,35-44,M,50
2011-12,2.NHS England Region,Y58,,,Mixed,45-54,F,12
2011-12,2.NHS England Region,Y62,,,GDS,55+,M,254
2011-12,2.NHS England Region,Y63,,,TDS,45-54,M,23
2011-12,2.NHS England Region,Y60,,,Mixed,35-44,F,33
2011-12,2.NHS England Region,Y61,,,Mixed,45-54,M,35
2011-12,2.NHS England Region,Y56,,,TDS,Under 35,M,15
2011-12,2.NHS England Region,Y63,,,TDS,35-44,F,32
2011-12,2.NHS England Region,Y56,,,GDS,Under 35,F,834
2011-12,2.NHS England Region,Y56,,,Mixed,Under 35,F,49
2011-12,2.NHS England Region,Y61,,,GDS,55+,M,232
2011-12,2.NHS England Region,Y63,,,Mixed,Under 35,F,66
2011-12,2.NHS England Region,Y61,,,TDS,35-44,F,14
2011-12,2.NHS England Region,Y63,,,GDS,55+,M,250
2011-12,2.NHS England Region,Y58,,,PDS,Under 35,M,16
2011-12,2.NHS England Region,Y58,,,Mixed,Under 35,M,21
2011-12,2.NHS England Region,Y62,,,Mixed,Under 35,F,47
2011-12,2.NHS England Region,Y60,,,GDS,Under 35,F,641
2011-12,2.NHS England Region,Y58,,,PDS,55+,F,11
2011-12,2.NHS England Region,Y63,,,TDS,Under 35,M,16
2011-12,2.NHS England Region,Y58,,,GDS,45-54,F,169
2011-12,2.NHS England Region,Y60,,,Mixed,Under 35,M,76
2011-12,2.NHS England Region,Y62,,,Mixed,55+,F,2
2011-12,2.NHS England Region,Y59,,,PDS,Under 35,M,37
2011-12,2.NHS England Region,Y58,,,PDS,35-44,F,26
2011-12,2.NHS England Region,Y60,,,Mixed,45-54,M,35
2011-12,2.NHS England Region,Y63,,,GDS,35-44,M,364
2011-12,2.NHS England Region,Y62,,,PDS,35-44,M,49
2011-12,2.NHS England Region,Y61,,,TDS,45-54,M,5
2011-12,2.NHS England Region,Y59,,,TDS,35-44,M,12
2011-12,2.NHS England Region,Y60,,,TDS,Under 35,M,11
2011-12,2.NHS England Region,Y58,,,PDS,45-54,M,25
2011-12,2.NHS England Region,Y63,,,PDS,35-44,M,65
2011-12,2.NHS England Region,Y60,,,PDS,45-54,F,37
2011-12,2.NHS England Region,Y61,,,Mixed,35-44,M,31
2011-12,2.NHS England Region,Y59,,,GDS,Under 35,M,534
2011-12,2.NHS England Region,Y59,,,GDS,45-54,F,267
2011-12,2.NHS England Region,Y61,,,TDS,Under 35,M,5
2011-12,2.NHS England Region,Y63,,,Mixed,45-54,M,36
2011-12,2.NHS England Region,Y62,,,GDS,35-44,M,286
2011-12,2.NHS England Region,Y58,,,GDS,55+,M,244
2011-12,2.NHS England Region,Y58,,,TDS,35-44,F,34
2011-12,2.NHS England Region,Y60,,,PDS,55+,F,16
2011-12,2.NHS England Region,Y58,,,TDS,Under 35,F,31
2011-12,2.NHS England Region,Y62,,,TDS,55+,M,14
2011-12,2.NHS England Region,Y61,,,GDS,35-44,M,295
2011-12,2.NHS England Region,Y59,,,GDS,55+,M,352
2011-12,2.NHS England Region,Y61,,,Mixed,55+,M,27
2011-12,2.NHS England Region,Y61,,,PDS,55+,F,11
2011-12,2.NHS England Region,Y60,,,TDS,45-54,F,40
2011-12,2.NHS England Region,Y63,,,PDS,Under 35,F,86
2011-12,2.NHS England Region,Y61,,,Mixed,Under 35,F,48
2011-12,2.NHS England Region,Y62,,,TDS,Under 35,F,35
2011-12,2.NHS England Region,Y61,,,PDS,Under 35,F,61
2011-12,2.NHS England Region,Y56,,,PDS,55+,F,11
2011-12,2.NHS England Region,Y59,,,Mixed,55+,M,17
2011-12,2.NHS England Region,Y60,,,Mixed,55+,M,17
2011-12,2.NHS England Region,Y60,,,PDS,Under 35,F,92
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,35-44,F,455
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,35-44,M,437
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,45-54,F,169
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,45-54,M,435
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,55+,F,78
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,55+,M,311
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,Under 35,F,834
2011-12,3.NHS England Region Local Office,Y56,Q71,,GDS,Under 35,M,651
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,35-44,F,24
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,35-44,M,22
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,45-54,F,12
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,45-54,M,25
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,55+,F,6
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,55+,M,13
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,Under 35,F,49
2011-12,3.NHS England Region Local Office,Y56,Q71,,Mixed,Under 35,M,45
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,35-44,F,53
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,35-44,M,50
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,45-54,F,25
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,45-54,M,46
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,55+,F,11
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,55+,M,30
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,Under 35,F,58
2011-12,3.NHS England Region Local Office,Y56,Q71,,PDS,Under 35,M,30
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,35-44,F,42
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,35-44,M,14
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,45-54,F,32
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,45-54,M,16
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,55+,F,16
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,55+,M,11
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,Under 35,F,49
2011-12,3.NHS England Region Local Office,Y56,Q71,,TDS,Under 35,M,15
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,35-44,F,162
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,35-44,M,195
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,45-54,F,81
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,45-54,M,195
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,55+,F,26
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,55+,M,153
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,Under 35,F,257
2011-12,3.NHS England Region Local Office,Y58,Q85,,GDS,Under 35,M,183
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,35-44,F,8
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,35-44,M,7
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,45-54,F,5
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,45-54,M,7
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,55+,F,1
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,55+,M,4
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,Under 35,F,12
2011-12,3.NHS England Region Local Office,Y58,Q85,,Mixed,Under 35,M,13
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,35-44,F,12
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,35-44,M,19
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,45-54,F,13
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,45-54,M,15
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,55+,F,5
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,55+,M,14
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,Under 35,F,11
2011-12,3.NHS England Region Local Office,Y58,Q85,,PDS,Under 35,M,7
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,35-44,F,17
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,35-44,M,7
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,45-54,F,18
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,45-54,M,9
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,55+,F,11
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,55+,M,16
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,Under 35,F,16
2011-12,3.NHS England Region Local Office,Y58,Q85,,TDS,Under 35,M,4
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,35-44,F,102
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,35-44,M,122
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,45-54,F,88
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,45-54,M,135
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,55+,F,21
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,55+,M,93
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,Under 35,F,186
2011-12,3.NHS England Region Local Office,Y58,Q86,,GDS,Under 35,M,162
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,35-44,F,3
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,35-44,M,7
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,45-54,F,7
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,45-54,M,3
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,55+,M,6
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,Under 35,F,4
2011-12,3.NHS England Region Local Office,Y58,Q86,,Mixed,Under 35,M,6
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,35-44,F,14
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,35-44,M,14
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,45-54,F,8
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,45-54,M,10
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,55+,F,6
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,55+,M,12
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,Under 35,F,15
2011-12,3.NHS England Region Local Office,Y58,Q86,,PDS,Under 35,M,11
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,35-44,F,17
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,35-44,M,7
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,45-54,F,14
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,45-54,M,1
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,55+,F,6
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,55+,M,8
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,Under 35,F,16
2011-12,3.NHS England Region Local Office,Y58,Q86,,TDS,Under 35,M,7
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,35-44,F,217
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,35-44,M,227
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,45-54,F,116
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,45-54,M,226
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,55+,F,50
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,55+,M,172
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,Under 35,F,337
2011-12,3.NHS England Region Local Office,Y59,Q87,,GDS,Under 35,M,251
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,35-44,F,11
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,35-44,M,14
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,45-54,F,4
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,45-54,M,10
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,55+,M,6
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,Under 35,F,29
2011-12,3.NHS England Region Local Office,Y59,Q87,,Mixed,Under 35,M,17
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,35-44,F,35
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,35-44,M,24
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,45-54,F,32
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,45-54,M,33
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,55+,F,9
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,55+,M,14
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,Under 35,F,39
2011-12,3.NHS England Region Local Office,Y59,Q87,,PDS,Under 35,M,16
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,35-44,F,14
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,35-44,M,5
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,45-54,F,13
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,45-54,M,7
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,55+,F,13
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,55+,M,14
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,Under 35,F,18
2011-12,3.NHS England Region Local Office,Y59,Q87,,TDS,Under 35,M,5
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,35-44,F,204
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,35-44,M,228
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,45-54,F,153
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,45-54,M,283
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,55+,F,60
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,55+,M,184
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,Under 35,F,362
2011-12,3.NHS England Region Local Office,Y59,Q88,,GDS,Under 35,M,303
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,35-44,F,19
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,35-44,M,21
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,45-54,F,9
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,45-54,M,20
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,55+,F,3
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,55+,M,11
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,Under 35,F,22
2011-12,3.NHS England Region Local Office,Y59,Q88,,Mixed,Under 35,M,30
2011-12,3.NHS England Region Local Office,Y59,Q88,,PDS,35-44,F,49
2011-12,3.NHS England Region Local Office,Y59,Q88,,PDS,35-44,M,34
2011-12,3.NHS England Region Local Office,Y59,Q88,,PDS,45-54,F,23
2011-12,3.NHS England Region Local Office,Y59,Q88,,PDS,45-54,M,36
2011-12,3.NHS England Region Local Office,Y59,Q88,,PDS,55+,F,7
